symptom,bodily_system,effected_area,mapping_note,old_bodily_system,old_effected_area
anxiety and nervousness,nervous,brain,Broadly mapped to brain because no psychological system image is available.,Psychological,Brain
depression,nervous,brain,Broadly mapped to brain because no psychological system image is available.,Psychological,Brain
shortness of breath,respiratory,lungs,,Respiratory,Lungs
depressive or psychotic symptoms,nervous,brain,Broadly mapped to brain because no psychological system image is available.,Psychological,Brain
sharp chest pain,circulatory,heart,Broadly mapped to heart/chest.,Cardiovascular,Chest
dizziness,nervous,brain,Broadly mapped to brain/central nervous system.,Neurological,Head
insomnia,nervous,brain,Broadly mapped to brain/sleep regulation.,Psychological,Head
abnormal involuntary movements,nervous,brain,Broadly mapped to brain/nervous system.,Neurological,Whole Body
chest tightness,respiratory,lungs,Broadly mapped to lungs/chest.,"Respiratory, Cardiovascular, Musculoskeletal",Chest
palpitations,circulatory,heart,,Cardiovascular,Heart
irregular heartbeat,circulatory,heart,,Cardiovascular,Heart
breathing fast,respiratory,lungs,,Respiratory,Chest
hoarse voice,respiratory,throat,Broadly mapped to throat/voice box.,"Respiratory, ENT",Vocal Cords
sore throat,respiratory,throat,,ENT,Throat
difficulty speaking,nervous,brain,Broadly mapped to brain because the symptom is functional rather than organ-specific.,Neurological,Head
cough,respiratory,lungs,,Respiratory,Lungs
nasal congestion,respiratory,nose,,ENT,Nose
throat swelling,respiratory,throat,,ENT,Throat
diminished hearing,ent,ear,,ENT,Ear
lump in throat,respiratory,throat,Broadly mapped to throat.,ENT,Throat
throat feels tight,respiratory,throat,,ENT,Throat
difficulty in swallowing,digestive,esophagus,Broadly mapped to esophagus/throat junction.,"Digestive, ENT, Neurological",Throat
skin swelling,integumentary,skin,,Dermatologic,Skin
retention of urine,urinary,bladder,,Urinary,Pelvis
groin mass,reproductive,groin,Broadly mapped to groin/reproductive region.,Reproductive,Groin
leg pain,musculoskeletal,leg,,Musculoskeletal,Leg
hip pain,musculoskeletal,hip,,Musculoskeletal,Hip
suprapubic pain,urinary,bladder,,"Urinary, Reproductive",Bladder
blood in stool,digestive,intestines,,Gastrointestinal,Abdomen
lack of growth,endocrine,pituitary,,"Endocrine, Musculoskeletal",Whole Body
emotional symptoms,nervous,brain,Broadly mapped to brain because no psychological system image is available.,"Psychological, Neurological",Brain
elbow weakness,musculoskeletal,elbow,,Neurological,Arm
back weakness,musculoskeletal,back,,Neurological,Back
pus in sputum,respiratory,lungs,,Respiratory,Chest
symptoms of the scrotum and testes,reproductive,testes,,Reproductive,Groin
swelling of scrotum,reproductive,testes,,Reproductive,Groin
pain in testicles,reproductive,testes,,Reproductive,Groin
flatulence,digestive,intestines,,Gastrointestinal,Abdomen
pus draining from ear,ent,ear,,ENT,Ear
jaundice,digestive,liver,,"Digestive, Hematologic",Skin/Eyes
mass in scrotum,reproductive,testes,,Reproductive,Groin
white discharge from eye,nervous,eyes,Broadly mapped to eyes within the nervous/sensory system because ophthalmic is not an allowed system choice.,Ophthalmic,Eye
irritable infant,immune,whole body,Broadly mapped to whole body because the symptom is systemic or non-localized.,Pediatric,Whole Body
abusing alcohol,nervous,brain,Broadly mapped to brain because no psychological system image is available.,"Psychological, Behavioral",Brain
fainting,nervous,brain,Broadly mapped to brain/central nervous system.,Neurological,Whole Body
hostile behavior,nervous,brain,Broadly mapped to brain because no psychological system image is available.,Psychological,Head
drug abuse,nervous,brain,Broadly mapped to brain because no psychological system image is available.,"Psychological, Behavioral",Brain
sharp abdominal pain,digestive,abdomen,,Gastrointestinal,Abdomen
feeling ill,immune,whole body,Broadly mapped to whole body because it is systemic.,"Immune, Systemic",Whole Body
vomiting,digestive,stomach,,Gastrointestinal,Stomach
headache,nervous,brain,,Neurological,Head
nausea,digestive,stomach,,Gastrointestinal,Stomach
diarrhea,digestive,intestines,,Gastrointestinal,Intestines
vaginal itching,reproductive,vagina,,Reproductive,Vagina
vaginal dryness,reproductive,vagina,,Reproductive,Pelvis
painful urination,urinary,bladder,,Urinary,Bladder/Urethra
involuntary urination,urinary,bladder,,Urinary,Pelvis
pain during intercourse,reproductive,vagina,Broadly mapped to vagina/pelvis.,"Reproductive, Genitourinary",Reproductive Organs
frequent urination,urinary,bladder,,Urinary,Bladder
lower abdominal pain,digestive,lower abdomen,,Gastrointestinal,Lower Abdomen
vaginal discharge,reproductive,vagina,,Reproductive,Vagina
blood in urine,urinary,bladder,,Urinary,Kidneys/Bladder
hot flashes,endocrine,ovaries,Broadly mapped to female endocrine system.,Endocrine,Whole Body
intermenstrual bleeding,reproductive,uterus,,Reproductive,Pelvis
hand or finger pain,musculoskeletal,hand,,"Musculoskeletal, Neurological",Hand/Finger
wrist pain,musculoskeletal,wrist,,Musculoskeletal,Wrist
hand or finger swelling,musculoskeletal,hand,,"Musculoskeletal, Cardiovascular, Renal",Hand/Finger
arm pain,musculoskeletal,arm,,Musculoskeletal,Arm
wrist swelling,musculoskeletal,wrist,,Musculoskeletal,Wrist
arm stiffness or tightness,musculoskeletal,arm,,Musculoskeletal,Arm
arm swelling,musculoskeletal,arm,,Musculoskeletal,Arm
hand or finger stiffness or tightness,musculoskeletal,hand,,"Musculoskeletal, Neurological",Hand
wrist stiffness or tightness,musculoskeletal,wrist,,Musculoskeletal,Wrist
lip swelling,digestive,lips,,"Dermatologic, Immune",Lips
toothache,digestive,teeth,Broadly mapped to teeth/oral cavity because dental is not an allowed system choice.,"Dental, Neurological",Teeth
abnormal appearing skin,integumentary,skin,,ENT,Ear
skin lesion,integumentary,skin,,Dermatologic,Skin
acne or pimples,integumentary,skin,,Dermatologic,Skin
dry lips,digestive,lips,,"Dermatologic, Endocrine",Lips
facial pain,musculoskeletal,muscles,Broadly mapped from older musculoskeletal label.,"Neurological, Musculoskeletal, ENT",Face
mouth ulcer,digestive,mouth,,"Digestive, Immune",Mouth
skin growth,integumentary,skin,,Dermatologic,Skin
eye deviation,nervous,brain,Broadly mapped to brain/cranial nerve control.,Ophthalmic,Eye
diminished vision,nervous,eyes,Broadly mapped to eyes within the nervous/sensory system because ophthalmic is not an allowed system choice.,Ophthalmic,Eye
double vision,nervous,eyes,Broadly mapped to eyes within the nervous/sensory system because ophthalmic is not an allowed system choice.,Ophthalmic,Eye
cross-eyed,nervous,brain,Broadly mapped to brain/nerve control rather than the eye alone.,Ophthalmic,Eye
symptoms of eye,nervous,eyes,Broadly mapped to eyes within the nervous/sensory system because ophthalmic is not an allowed system choice.,Ophthalmic,Eye
pain in eye,nervous,eyes,Broadly mapped to eyes within the nervous/sensory system because ophthalmic is not an allowed system choice.,Ophthalmic,Eye
eye moves abnormally,nervous,brain,Broadly mapped to brain/cranial nerve control.,Ophthalmic,Eye
abnormal movement of eyelid,nervous,eyes,Broadly mapped to eyes within the nervous/sensory system because ophthalmic is not an allowed system choice.,Ophthalmic,Eye
